element,id,geometry,description,heritage,historic,image,inscription,material,memorial,name,wikidata,height,start_date,amenity,wheelchair,architect:wikidata,covered,drinking_water,indoor,lit,tourism,heritage:operator,ref:lfd,wikimedia_commons,description:de,note,subject:wikidata,subject:wikipedia,artist_name,wikipedia,year_of_construction,artwork_type,colour,loc_name,min_height,seamark:landmark:category,seamark:landmark:conspicuity,seamark:type,created_by,ele,operator,public_transport,railway,railway:ref,railway:station_category,usage,access,entrance,area,memorial:conflict,website,format,format:top,lfd:criteria,milestone_type,network,panoramax,name:etymology:wikidata,source,name:etymology:wikipedia,board_type,information,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,check_date:opening_hours,opening_hours,phone,shop,alt_name,flood_date,flood_mark,support,name:de,stone_type,man_made,obelisk:material,obelisk:size,name:en,name:ru,note:de,name:fr,direction,disused,lining,hiking,natural,cemetery,historic:civilization,comment,classification,name:prefix,ref,related:wikipedia,short_name,survey_point:structure,abandoned:military,ruins,boundary,marker,level,length,building,bunker_type,location,military,leisure,place,fixme:wikipedia,toilets:wheelchair,moved,road,year,old_ref,aircraft:type,manufacturer,url,archaeological_site,fortification_type,pump,memorial:type,fixme,artist,backrest,inscription:de,inscription:en,seats,tomb,end_date,highway,name:signed,memorial:addr,person:date_of_birth,person:date_of_death,memorial:text,abandoned:amenity,labor_camp,prison_camp,exhibit,addr:suburb,buried:wikidata,buried:wikimedia_commons,buried:wikipedia,abandoned:man_made,grave,date,brewery,contact:facebook,cuisine,indoor_seating,microbrewery,outdoor_seating,wheelchair:description,beds,email,internet_access,internet_access:fee,rooms,subject:wikimedia_commons,model:wikidata,old_name,ship:type,survey_point:purpose,commemorates:wikidata,commemorates,name:wikipedia,memorial:date,memorial:event,religion,construction_year,direction_east,direction_west,named_after,artist:wikidata,railway_car,leaf_cycle,leaf_type,epigraph,material:de,object:city,object:country,object:housenumber,object:postcode,object:street,width,vehicle_part,electrified,gauge,railway:etcs,railway:preferred_direction,railway:preserved,railway:pzb,railway:track_ref,railway:traffic_mode,building:colour,building:levels,building:levels:underground,fee,roof:colour,roof:height,roof:shape,source:height,fax,building:name,contact:pinterest,contact:twitter,museum,castle_type,max_level,min_level,name:ar,name:es,roof:levels,architect,building:architecture,building:material,contact:youtube,denomination,diocese,emergency,name:be,name:he,name:nl,name:pl,name:uk,name:zh,opening_hours:url,roof:material,bridge,bridge:structure,layer,sac_scale,surface,est_height,roof:orientation,carriage,check_date:tracktype,motor_vehicle,smoothness,tracktype,building:use,disused:denomination,disused:religion,monument:genesis,tower:type,admin_level,government,office,cycleway:both,cycleway:both:lane,foot,hgv:conditional,lanes,lanes:backward,maxspeed,maxweight:hgv,parking:both,razed:railway,sidewalk,source:maxspeed,wheelchair:description:de,charge,disused:man_made,disused:amenity,payment:cash,payment:credit_cards,payment:debit_cards,xmas:day_date,xmas:feature,xmas:name,xmas:opening_hours,castle_type:de,abandoned:power,abandoned:substation,object:suburb,old_operator,water,name:ko,abandoned,functional,windmill:disused,windmill:vanes,3dr:type,building:part,kiln,operator:wikidata,power,substation,barrier,statue,railway:gnt,service,drinking_water:legal,light:method,intermittent,tunnel,waterway,ruins:tourism,cellar:use,storage,ruins:building,abandoned:railway,contact:email,contact:instagram,contact:website,handle,mechanical_driver,pump:style,deanery,parish,ruins:artificial,disused:highway,aeroway,building:min_level,outdoor,historic:period,was:highway,type,contact:phone,stars,operator:type,townhall:type,building:architecture:typology,bicycle,horse
node,248965132,POINT (13.7409623 51.0480235),,yes,yes,,,,,Goldener Rathausmann,Q1535449,99.2,,,,,,,,,artwork,,,,,,,,,de:Goldener Rathausmann (Dresden),,sculpture,#D4AF37,Nieselmännel,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,249676316,POINT (13.7447862 51.0619895),loc_name=Spitzname,yes,memorial,https://commons.wikimedia.org/wiki/File%3ASchiller_Dresden.JPG,,,statue,Schillerdenkmal,Q47108234,,,,,,,,,,,,,,,,,,,de:Schillerdenkmal (Dresden),,,,"""Schiller in der Badewanne""",,monument,conspicuous,landmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253867721,POINT (13.8465745 51.1222474),,,memorial,,,,war_memorial,Soldatendenkmal Langebrück,Q110678156,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263480844,POINT (13.6894803 51.0049114),,,railway,,,,,Dresden-Gittersee,,,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,275,Sächsischer Museumseisenbahnverein Windbergbahn e.V.,station,station,DGI,train_station,tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267949057,POINT (13.7517507 51.0573686),,yes,yes,https://commons.wikimedia.org/wiki/Category:Bogensch%C3%BCtze_(Dresden)#/media/File:Ernst_Moritz_Geyger_Bogenschuetze_1902_Elbufer_Dresden-2.jpg,,,,Bogenschütze,Q110627868,,1902,,,,,,,,artwork,,,,,,,,Ernst Moritz Geyger,,,sculpture,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,279026867,POINT (13.7867509 51.0319635),,,memorial,,,granite,war_memorial,Gefallenendenkmal 1. Weltkrieg,Q110680273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,280723367,POINT (13.8082467 51.1313833),,,memorial,,,,obelisk,Lausaer Saugarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,280723507,POINT (13.7995168 51.1345616),"Granodioritblock, 1915 mit Medaillon ausgelegt, 2005 erneuert",,memorial,,1815 - 1915,,stone,Bismarckstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,280723533,POINT (13.8069154 51.1306796),,,memorial,,,,stone,Jagddenkmal Pilz,Q106253690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.wetterpilze.de/Jagddenkmal.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,280730940,POINT (13.8205923 51.1361166),,,memorial,https://friedrichmeichsner.de/media/memorial.html,"Zum ehrenden Gedenken an ihre 3 lieben, hoffnungsvollen Söhne setzten diesen Stein die tief trauernden Eltern.
-----------------
So fern und doch daheim.",granite,stone,Trepte-Gedenkstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,287991453,POINT (13.8400107 51.0956055),,yes,memorial,http://wiki.openstreetmap.org/wiki/File:2014_Denkstein_Guido_Hammer_in_der_Dresdner_Heide.jpg,,,stone,Guido-Hammer-Gedenkstein,,,,,,,,,,,,,,,,,Q1553560,de:Guido Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,289991323,POINT (13.7294151 51.0506949),Kursächsische Postmeilensäule-Distanzsäule in Dresden an der Kreuzung Freiberger Straße / Hertha-Lindner-Straße,4,milestone,https://commons.wikimedia.org/wiki/File%3ADresden_Postmeilensaeule-03.jpg,,,,Kursächsische Postmeilensäule,Q49457914,4.5,1722,,yes,,,,,,attraction,lfd,09304826,Category:Polish-Saxon Post Milestone in Dresden-Altstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,obelisk,pyramidal,Baudenkmal,post_milestone,Kursächsische_Postmeilensäule,2a53326b-9367-4933-8ef2-5dbb1d78318a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,295075045,POINT (13.7341381 51.0377043),,,memorial,,,stone,stele,Friedrich-List-Denkmal,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q159917,knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,295723554,POINT (13.868344 51.0284889),,yes,memorial,https://commons.wikimedia.org/wiki/File:Rockau_Gefallenendenkmal_1._Weltkrieg.jpg,,,war_memorial,Denkmal für die Gefallenen des Ersten Weltkrieges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
