Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|0.13293315314514328||certain
Possendorf|https://de.wikipedia.org/wiki/Possendorf_(Freital)|50.9671664|13.7115177|Possendorf|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|9.429312302737381|Possendorff|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|0.13293315314514328||certain
Dippoldiswalda|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|18.034042343892846||certain
Reinhardsgrimme||50.8928546|13.7560248|Reinhardtsgrimma|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|17.567268229183114||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|0.13293315314514328||certain
Lockewitz|https://de.wikipedia.org/wiki/Lockwitz|50.9872806|13.8062434|Löckwitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|8.515686897739851||certain
Rackenitz|https://de.wikipedia.org/wiki/Räcknitz|51.0251896|13.7333866|Räcknitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|2.8165950539817874|Rackenitzischen|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000541.tif.original|0.13293315314514328||certain
Dohna|https://de.wikipedia.org/wiki/Dohna|50.955232|13.8587012|Dohna|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000541.tif.original|13.57000504409946||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000542.tif.original|0.13293315314514328||certain
Pirna|https://de.wikipedia.org/wiki/Pirna|50.9616923|13.9386643|Pirna|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000542.tif.original|17.198782687222987||certain
Pirna|https://de.wikipedia.org/wiki/Pirna|50.9616923|13.9386643|Pirna|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000544.tif.original|17.198782687222987||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000544.tif.original|0.13293315314514328||certain
Leuben|https://de.wikipedia.org/wiki/Leuben_(Dresden)|51.0106334|13.8270795|Leuben|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|7.67925854530887||certain
Schleinig||51.0380217|13.7007763|Schleinig|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|2.9007445433001515||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000470.tif.original|0.13293315314514328||certain
Wilskyeruff||51.0524125|13.5362765|Wilsdruff|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000470.tif.original|14.05327409626612||certain
Wilßdruff|https://de.wikipedia.org/wiki/Wilsdruff|51.0524125|13.5362765|Wilsdruff|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000471.tif.original|14.05327409626612||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000471.tif.original|0.13293315314514328||certain
Tharant||50.9853391|13.5794907|Tharandt|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|13.198209070619207||certain
Tharanter-Wald||50.9860085|13.4810286|Tharanter-Wald|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|19.303166981522708||certain
Weixer||51.0191561|13.677797|Weißeritz|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|5.420478851941373||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|0.13293315314514328||certain
Dippoldiswal|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|18.034042343892846||certain
Grillenburg|https://de.wikipedia.org/wiki/Grillenburg_(Sachsen)|50.9527591|13.5075118|Grillenburg|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|19.401691591788488||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|0.13293315314514328||certain
Potschappel||51.0131482|13.662626|Potschappel|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|6.6653038173329||certain
Kesselsdorff||51.0322245|13.5942849|Kesselsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|10.20110488619748||certain
Ober‑Herrndorff||51.019936|13.5906341|Oberhermsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|10.800470931401506|Ober-Herrndorff|certain
Nieder‑Herrnsdorff||51.0221846|13.6157997|Niederhermsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|9.056423455140072|Nieder-Herrnsdorff|certain
Keffelsdorff||51.0322245|13.5942849|Kesselsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|10.20110488619748||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000476.tif.original|0.13293315314514328||certain
Burgstädtel|https://de.wikipedia.org/wiki/Burgst%C3%A4dtel|50.9704539|13.7929057|Burgstädtel|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|9.703574530658546||certain
Dressdnelle|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|0.13293315314514328||certain
Dressden|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|0.13293315314514328||certain
Kaditz|https://de.wikipedia.org/wiki/Kaditz|51.0843554|13.6776905|Kaditz|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|5.621836095737925||certain
Pirna|https://de.wikipedia.org/wiki/Pirna|50.9616923|13.9386643|Pirna|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|17.198782687222987||certain
Alt-Francken||51.0340852|13.6454145|Altfranken|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|6.675283807602991||certain
Neustadt an der Elbe|https://de.wikipedia.org/wiki/Neustadt_an_der_Elbe|51.0581166|13.7531252|Neustadt an der Elbe|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000480.tif.original|1.3999017913835978||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000481.tif.original|0.13293315314514328||certain
Friedrichstadt (Dresden)|https://de.wikipedia.org/wiki/Friedrichstadt_(Dresden)|51.0588443|13.714757|Friedrichstadt (Dresden)|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000481.tif.original|1.834202671588646|Friedrichstadt|certain
St. Michael (Dresden)|https://de.wikipedia.org/wiki/St._Michael_(Dresden)|51.0600005|13.7205839|St. Michael (Dresden)|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000481.tif.original|1.5826156071075472|Michaelis|certain
Kreuzkirche|https://de.wikipedia.org/wiki/Kreuzkirche_Dresden|51.0487258|13.7392255|Kreuzkirche|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000481.tif.original|0.22972383500968407|Creuz+Kirche|certain
St. Anne's Church (Annenkirche)|https://de.wikipedia.org/wiki/Annenkirche_(Dresden)|51.0487471|13.7274512|Annenkirche|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000484.tif.original|0.7125673126432942|Sct. Annen Kirch-hoff|certain
Böhmische Kirche||51.0649008|13.754804|Böhmische Kirche|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000486.tif.original|2.0239816547820246||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000486.tif.original|0.13293315314514328||certain
Dreshden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000487.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000491.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000492.tif.original|0.13293315314514328||certain
Schloss (am Schlosse)|https://de.wikipedia.org/wiki/Dresdner_Schloss|51.0087637|13.8688717|Schloss Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000492.tif.original|10.300291033070446|Schlosse|certain
Pirnaisches Thor|https://de.wikipedia.org/wiki/Pirnaisches_Tor|51.047784|13.7449791|Pirnaisches Tor|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000493.tif.original|0.6105430541126569|Pirnaischen Thor|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000494.tif.original|0.13293315314514328||certain
Neustadt an der Elbe|https://de.wikipedia.org/wiki/Neustadt_(Dresden)|51.0581166|13.7531252|Neustadt an der Elbe|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000494.tif.original|1.3999017913835978||certain
Pirna|https://de.wikipedia.org/wiki/Pirna|50.9616923|13.9386643|Pirna|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000494.tif.original|17.198782687222987||certain
Japanisches Palais|https://de.wikipedia.org/wiki/Japanisches_Palais|51.0598716|13.737341|Japanisches Palais|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000495.tif.original|1.053199220547425|Japanische Palast|certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000496.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000497.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000499.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000502.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000509.tif.original|0.13293315314514328||certain
Sachsische Hof||51.1095013|13.8323747|Sachsische Hof|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000513.tif.original|9.343397221523972||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000514.tif.original|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|140|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|141|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|142|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|144|0.13293315314514328||certain
Zwinger|https://de.wikipedia.org/wiki/Zwinger_(Dresden)|51.0530296|13.7349775|Zwinger|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|144|0.33444218636878353||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|146|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|147|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|148|0.13293315314514328||certain
DRESDEN|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|DRESDEN|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|149|0.13293315314514328||certain
Großer Garten|https://de.wikipedia.org/wiki/Gro%C3%9Fer_Garten_(Dresden)|51.0370109|13.7673639|Großer Garten|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|149|2.5756810819047247||certain
DRESDEN|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|DRESDEN|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|150|0.13293315314514328||certain
Pillnitz|https://de.wikipedia.org/wiki/Schloss_Pillnitz|51.0126628|13.8713801|Pillnitz|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|150|10.272337221479125||certain
Moritzburg|https://de.wikipedia.org/wiki/Schloss_Moritzburg|51.1592018|13.6819406|Moritzburg|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|150|12.700644687472689||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|155|0.13293315314514328||certain
DRESDEN|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|DRESDEN|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|156|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|157|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|158|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|159|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|160|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|163|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|165|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|166|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|167|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|168|0.13293315314514328||certain
Dresden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|170|0.13293315314514328||certain
