Entity;Type;Link;latitude;longitude;geocode_query;geocode_status;Subfolder;SourceFileStem;distance_to_dresden_km
Schloss Dresden;Location;https://de.wikipedia.org/wiki/Dresdner_Schloss;51.0087637;13.8688717;Schloss Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1043;10.300291033070446
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1046;0.13293315314514328
Kirche zu unsrer lieben Frauen;Location;https://en.wikipedia.org/wiki/Frauenkirche_(Dresden);51.051957;13.7416198;Frauenkirche Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1056;0.34806721038579985
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;1059;0.13293315314514328
Dresden;Location;https://en.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original;0.13293315314514328
Dippoldiswalde;Place;https://de.wikipedia.org/wiki/Dippoldiswalde;50.8950479;13.6633335;Dippoldiswalde;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000536.tif.original;18.034042343892846
Dresden;Place;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000536.tif.original;0.13293315314514328
Possendorf;Place;https://de.wikipedia.org/wiki/Possendorf_(Freital);50.9671664;13.7115177;Possendorf;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000536.tif.original;9.429312302737381
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000537.tif.original;0.13293315314514328
Dippoldiswalda;Location;https://de.wikipedia.org/wiki/Dippoldiswalde;50.8950479;13.6633335;Dippoldiswalde;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000537.tif.original;18.034042343892846
Reinhardsgrimme;Location;;50.8928546;13.7560248;Reinhardtsgrimma;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000538.tif.original;17.567268229183114
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000538.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000540.tif.original;0.13293315314514328
Lockewitz;Location;https://de.wikipedia.org/wiki/Lockwitz;50.9872806;13.8062434;Löckwitz;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000540.tif.original;8.515686897739851
Rackenitz;Location;https://de.wikipedia.org/wiki/Räcknitz;51.0251896;13.7333866;Räcknitz;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000540.tif.original;2.8165950539817874
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000541.tif.original;0.13293315314514328
Dohna;Location;https://de.wikipedia.org/wiki/Dohna;50.955232;13.8587012;Dohna;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000541.tif.original;13.57000504409946
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000542.tif.original;0.13293315314514328
Pirna;Location;https://de.wikipedia.org/wiki/Pirna;50.9616923;13.9386643;Pirna;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000542.tif.original;17.198782687222987
Pirna;Location;https://de.wikipedia.org/wiki/Pirna;50.9616923;13.9386643;Pirna;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000544.tif.original;17.198782687222987
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000544.tif.original;0.13293315314514328
Leuben;Location;https://de.wikipedia.org/wiki/Leuben_(Dresden);51.0106334;13.8270795;Leuben;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000465.tif.original;7.67925854530887
Schleinig;Location;;51.0380217;13.7007763;Schleinig;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000465.tif.original;2.9007445433001515
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000470.tif.original;0.13293315314514328
Wilskyeruff;Location;;51.0524125;13.5362765;Wilsdruff;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000470.tif.original;14.05327409626612
Wilßdruff;Location;https://de.wikipedia.org/wiki/Wilsdruff;51.0524125;13.5362765;Wilsdruff;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000471.tif.original;14.05327409626612
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000471.tif.original;0.13293315314514328
Tharant;Location;;50.9853391;13.5794907;Tharandt;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000472.tif.original;13.198209070619207
Tharanter-Wald;Location;;50.9860085;13.4810286;Tharanter-Wald;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000472.tif.original;19.303166981522708
Weixer;Location;;51.0191561;13.677797;Weißeritz;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000472.tif.original;5.420478851941373
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000472.tif.original;0.13293315314514328
Dippoldiswal;Location;https://de.wikipedia.org/wiki/Dippoldiswalde;50.8950479;13.6633335;Dippoldiswalde;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original;18.034042343892846
Grillenburg;Location;https://de.wikipedia.org/wiki/Grillenburg_(Sachsen);50.9527591;13.5075118;Grillenburg;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original;19.401691591788488
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original;0.13293315314514328
Potschappel;Location;;51.0131482;13.662626;Potschappel;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original;6.6653038173329
Kesselsdorff;Location;;51.0322245;13.5942849;Kesselsdorf;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original;10.20110488619748
Ober‑Herrndorff;Location;;51.019936;13.5906341;Oberhermsdorf;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original;10.800470931401506
Nieder‑Herrnsdorff;Location;;51.0221846;13.6157997;Niederhermsdorf;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original;9.056423455140072
Keffelsdorff;Location;;51.0322245;13.5942849;Kesselsdorf;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original;10.20110488619748
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000476.tif.original;0.13293315314514328
Burgstädtel;Location;https://de.wikipedia.org/wiki/Burgst%C3%A4dtel;50.9704539;13.7929057;Burgstädtel;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original;9.703574530658546
Dressdnelle;Location;https://en.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original;0.13293315314514328
Dressden;Location;https://en.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original;0.13293315314514328
Kaditz;Location;https://de.wikipedia.org/wiki/Kaditz;51.0843554;13.6776905;Kaditz;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000478.tif.original;5.621836095737925
Pirna;Location;https://de.wikipedia.org/wiki/Pirna;50.9616923;13.9386643;Pirna;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000478.tif.original;17.198782687222987
Alt-Francken;Location;;51.0340852;13.6454145;Altfranken;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000478.tif.original;6.675283807602991
Neustadt an der Elbe;Location;https://de.wikipedia.org/wiki/Neustadt_an_der_Elbe;51.0581166;13.7531252;Neustadt an der Elbe;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000480.tif.original;1.3999017913835978
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000481.tif.original;0.13293315314514328
Friedrichstadt (Dresden);Location;https://de.wikipedia.org/wiki/Friedrichstadt_(Dresden);51.0588443;13.714757;Friedrichstadt (Dresden);ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000481.tif.original;1.834202671588646
St. Michael (Dresden);Location;https://de.wikipedia.org/wiki/St._Michael_(Dresden);51.0600005;13.7205839;St. Michael (Dresden);ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000481.tif.original;1.5826156071075472
Kreuzkirche;Location;https://de.wikipedia.org/wiki/Kreuzkirche_Dresden;51.0487258;13.7392255;Kreuzkirche;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000481.tif.original;0.22972383500968407
St. Anne's Church (Annenkirche);Location;https://de.wikipedia.org/wiki/Annenkirche_(Dresden);51.0487471;13.7274512;Annenkirche;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000484.tif.original;0.7125673126432942
Böhmische Kirche;Location;;51.0649008;13.754804;Böhmische Kirche;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000486.tif.original;2.0239816547820246
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000486.tif.original;0.13293315314514328
Dreshden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000487.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000491.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000492.tif.original;0.13293315314514328
Schloss (am Schlosse);Location;https://de.wikipedia.org/wiki/Dresdner_Schloss;51.0087637;13.8688717;Schloss Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000492.tif.original;10.300291033070446
Pirnaisches Thor;Location;https://de.wikipedia.org/wiki/Pirnaisches_Tor;51.047784;13.7449791;Pirnaisches Tor;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000493.tif.original;0.6105430541126569
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000494.tif.original;0.13293315314514328
Neustadt an der Elbe;Location;https://de.wikipedia.org/wiki/Neustadt_(Dresden);51.0581166;13.7531252;Neustadt an der Elbe;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000494.tif.original;1.3999017913835978
Pirna;Location;https://de.wikipedia.org/wiki/Pirna;50.9616923;13.9386643;Pirna;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000494.tif.original;17.198782687222987
Japanisches Palais;Location;https://de.wikipedia.org/wiki/Japanisches_Palais;51.0598716;13.737341;Japanisches Palais;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000495.tif.original;1.053199220547425
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000496.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000497.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000499.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000502.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000509.tif.original;0.13293315314514328
Sachsische Hof;Location;;51.1095013;13.8323747;Sachsische Hof;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000513.tif.original;9.343397221523972
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000514.tif.original;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;140;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;141;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;142;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;144;0.13293315314514328
Zwinger;Location;https://de.wikipedia.org/wiki/Zwinger_(Dresden);51.0530296;13.7349775;Zwinger;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;144;0.33444218636878353
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;146;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;147;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;148;0.13293315314514328
DRESDEN;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;DRESDEN;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;149;0.13293315314514328
Großer Garten;Location;https://de.wikipedia.org/wiki/Gro%C3%9Fer_Garten_(Dresden);51.0370109;13.7673639;Großer Garten;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;149;2.5756810819047247
DRESDEN;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;DRESDEN;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;150;0.13293315314514328
Pillnitz;Location;https://de.wikipedia.org/wiki/Schloss_Pillnitz;51.0126628;13.8713801;Pillnitz;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;150;10.272337221479125
Moritzburg;Location;https://de.wikipedia.org/wiki/Schloss_Moritzburg;51.1592018;13.6819406;Moritzburg;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;150;12.700644687472689
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;155;0.13293315314514328
DRESDEN;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;DRESDEN;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;156;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;157;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;158;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;159;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;160;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;163;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;165;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;166;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;167;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;168;0.13293315314514328
Dresden;Place;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;170;0.13293315314514328
Dresden;Location;https://de.wikipedia.org/wiki/Dresden;51.0493286;13.7381437;Dresden;ok;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;171;0.13293315314514328
