Entity;Type;Link;latitude;longitude;geocode_query;geocode_status;Subfolder;SourceFileStem
Dwarsdorff;Location;;;;Dwarsdorff;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
Dockum;Location;;;;Dockum;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
Espernay;Location;;;;Espernay;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
Ekezid;Location;;;;Ekezid;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
Frauncker;Location;;;;Frauncker;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
Freyssingen;Location;;;;Freyssingen;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000056.tif.original
Gondesberg;Location;;;;Gondesberg;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000057.tif.original
Gorckum;Location;;;;Gorckum;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000057.tif.original
Gordouan;Location;;;;Gordouan;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000057.tif.original
Grotkau;Location;https://de.wikipedia.org/wiki/Grotkau;;;Grotkau;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000057.tif.original
Harderwick;Location;;;;Harderwitz;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000057.tif.original
Helsiz;Location;;;;Helsiz;no_results;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;00000057.tif.original
Littenbaum;Location;;;;Littenbaum;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000534.tif.original
Bosphische Gränze;Location;;;;Böhmische Grenze;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original
Pirnischen Thor;Location;;;;Pirnaischer Tor;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original
Dening Mauern;Location;;;;Dening Mauern;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original
Podendorff;Location;;;;Podendorff;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original
Olppol;Location;;;;Olppol;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original
Chursfuelin;Location;;;;Chursfuelin;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000535.tif.original
Maundorff;Location;https://de.wikipedia.org/wiki/Maundorf_(Dresden);;;Mauendorf;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000538.tif.original
Böhmische Grenze;Location;;;;Böhmische Grenze;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000538.tif.original
Zinwwald;Location;;;;Zinwwald;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000538.tif.original
Wesenstein;Location;https://de.wikipedia.org/wiki/Wesenstein_(Sachsen);;;Wesenstein;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000539.tif.original
Böhmische Grenze;Location;https://de.wikipedia.org/wiki/Böhmische_Grenze;;;Böhmische Grenze;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000540.tif.original
Pémna;Location;;;;Pémna;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000541.tif.original
Wesenstein;Location;https://de.wikipedia.org/wiki/Wesenstein_(Sachsen);;;Wesenstein;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000542.tif.original
Böhmischen Grenzen;Location;;;;Böhmische Grenze;no_results;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000544.tif.original
Gavin‑Hütte;Location;;;;Gavin‑Hütte;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000462.tif.original
Mehffen;Location;;;;Mehffen;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000464.tif.original
Ctleisa;Location;;;;Ctleisa;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000464.tif.original
Meissnische Inspection;Location;https://de.wikipedia.org/wiki/Meißnische_Inspektion;;;Meißnische Inspektion;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000465.tif.original
Kommaßsch;Location;;;;Kommaßsch;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000465.tif.original
Rufflicz;Location;;;;Rufflicz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000466.tif.original
Milcicz;Location;;;;Milcicz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000467.tif.original
Planckstein;Location;;;;Planckstein;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000468.tif.original
Burckhardswalda;Location;;;;Burkhardtswalde;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000468.tif.original
Neu- Tanneberg;Location;;;;Neu- Tanneberg;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000470.tif.original
Bichteng-Wald;Location;;;;Bichteng-Wald;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000470.tif.original
Vörder-Gersdorff;Location;;;;Vörder-Gersdorff;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
GleichLocl表态;Location;;;;GleichLocl表态;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Erincr-Gersdorff;Location;;;;Erincr-Gersdorff;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Somduck;Location;;;;Somduck;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Cbarant;Location;;;;Cbarant;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Orillenburg;Location;;;;Orillenburg;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Edlenau;Location;;;;Edlenau;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Weiferis;Location;;;;Weiferis;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000473.tif.original
Groß‑striz;Location;https://de.wikipedia.org/wiki/Gro%C3%9Fschr%C3%B6ditz;;;Groß‑striz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original
Clarren‑burg;Location;;;;Clarren‑burg;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original
Vestervitz;Location;https://de.wikipedia.org/wiki/Westerwitz;;;Westerwitz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original
Untertha i nen;Location;;;;Untertha i nen;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original
ZuMERckef;Location;;;;ZuMERckef;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000474.tif.original
Besterwitz;Location;https://de.wikipedia.org/wiki/Besterwitz;;;Besterwitz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original
Zuckeroda;Location;;;;Zuckeroda;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original
Klein‑Öping;Location;;;;Kleinpöppeln;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000475.tif.original
Bvdnerich;Location;;;;Bvdnerich;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000476.tif.original
Mersfen;Location;;;;Mersfen;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000476.tif.original
Brceffen;Location;;;;Brceffen;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000476.tif.original
Rostebauda;Location;;;;Rostebauda;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original
Weisctropp;Location;;;;Weisctropp;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original
Kögschenbroda;Location;;;;Köschener Broda;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original
Kadeburg;Location;;;;Kadeburg;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000477.tif.original
Dresdner Ober-Amt;Location;;;;Dresdner Oberamt;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000478.tif.original
Westerwitz;Location;https://de.wikipedia.org/wiki/Westerwitz;;;Westerwitz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000478.tif.original
Corbiz;Location;;;;Cöritz;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000478.tif.original
Pirnischen Thor;Location;https://de.wikipedia.org/wiki/Pirnaer_Tor;;;Pirnaischer Tor;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000483.tif.original
Wilßdruffer;Location;;;;Wilßdruffer;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000483.tif.original
Pirnischen Gasse;Location;;;;Pirnaische Gasse;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000487.tif.original
Auerbachticm Boigt Lande;Location;;;;Auerbacher Bucht;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000488.tif.original
Plauische Gasse;Location;;;;Plauische Gasse;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000493.tif.original
Wilßdruffer Thor;Location;;;;Wilßdruffer Thor;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000493.tif.original
Sächsischen Ländern;Location;;;;Sächsisches Land;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000497.tif.original
Thrigen;Location;;;;Thrigen;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000497.tif.original
Dreßdennischen Zeug‑Haus;Location;https://de.wikipedia.org/wiki/Zeughaus_(Dresden);;;Dresdner Zeughaus;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000499.tif.original
Couffre;Location;;;;Couffre;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000504.tif.original
Pirnaische Gasse;Location;https://de.wikipedia.org/wiki/Pirnaische_Gasse;;;Pirnaische Gasse;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000513.tif.original
Perls- Schencke;Location;;;;Perlschenke;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000513.tif.original
Königsteel;Location;;;;Königsteig;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000515.tif.original
Güftigelk;Location;;;;Güftigelk;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000515.tif.original
Baarrschajft;Location;;;;Baarrschajft;no_results;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;00000515.tif.original
Churfürstentum Sachsen;Location;https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen;;;Kurfürstentum Sachsen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;140
Drethren;Location;;;;Drethren;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;140
Kurfürstentum Sachsen;Location;https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen;;;Kurfürstentum Sachsen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;142
Schloss Kirche der Churfürsten von Sachsen;Location;https://de.wikipedia.org/wiki/Schlosskirche_(Dresden);;;Schlosskirche der Kurfürsten von Sachsen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;143
Königliche Schatz‑Kstoff;Location;https://de.wikipedia.org/wiki/Grünes_Gewölbe;;;Königlicher Schatzkeller;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;143
Jühlische Haus;Location;https://de.wikipedia.org/wiki/J%C3%BClichisches_Haus;;;Jühlische Haus;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;145
Gouvernements‑Haus;Location;;;;Gouvernementshaus;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;146
Hoymelische Haus;Location;;;;Hoymelische Haus;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;147
Roniteum;Location;;;;Roniteum;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;147
Haedeile;Location;;;;Haedeile;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;147
Hoymbisches Haus;Location;;;;Hoymbisches Haus;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;148
Türkischer Palast;Location;https://de.wikipedia.org/wiki/T%C3%BCrkischer_Pavillon_(Dresden);;;Türkischer Palast;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;149
Chartz;Location;;;;Chartz;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;155
Brandenburg‑Bayreuth;Location;https://de.wikipedia.org/wiki/Markgrafschaft_Brandenburg-Bayreuth;;;Brandenburg-Bayreuth;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;157
Preßsch;Location;;;;Preßsch;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;157
Polnichen;Location;;;;Polnichen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;157
Pommerisch-Preußen;Place;https://de.wikipedia.org/wiki/Pommern;;;Pommern/Preußen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;170
Brebentau;Location;;;;Brebentau;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;180
Chur‑Sachsen;Location;https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen;;;Chur‑Sachsen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;186
Pommerisch‑Preussen;Location;https://de.wikipedia.org/wiki/Pommern;;;Pommern/Preußen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;187
Brebentau;Location;https://de.wikipedia.org/wiki/Brebentau;;;Brebentau;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;188
Weywoden;Location;;;;Weywoden;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;188
Clischhoff;Location;;;;Clischhoff;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;188
Chur‑Sächsischen;Location;https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen;;;Chur‑Sächsischen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;189
Brieste;Location;;;;Brieste;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;190
Pultovva;Location;;;;Pultovva;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;190
Preffen;Location;;;;Preffen;no_results;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;194
Dörfelspiel;Location;;;;Dörfelspiel;no_results;014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür;00000430.tif.original
Ring - Mauren;Location;;;;Ring - Mauren;no_results;014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür;00000431.tif.original
Proviant-Häusern;Location;https://de.wikipedia.org/wiki/Provianthaus;;;Provianthäuser;no_results;014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür;00000436.tif.original
Alt‑ und Neu‑Dresden;Location;https://de.wikipedia.org/wiki/Dresden;;;Alt- und Neu-Dresden;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1053
Florentinischer;Location;;;;Florentinischer;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1056
Walzisch;Location;;;;Walzisch;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1056
Bayrischten Schazes;Location;;;;Bayerischen Schätze;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1058
Feinbergifchen;Location;;;;Feinbergifchen;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1058
Audienzsaal;Location;https://de.wikipedia.org/wiki/Residenzschloss_Dresden#Audienzsaal;;;Audienzsaal;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1060
Animalien‑Galerie;Location;;;;Animalien-Galerie;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1067
