historical spelling|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|modernized_spellings
AufmBraet|LOC||||AufmBraet|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|AufmBraet
Zinhoven|LOC||||Zinhoven|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|Zinhoven
Salgast|Location||||Salgast|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|Salgast
Biberstorff|Location||||Biberstorff|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|Biberstorff
Zurf fehre|Location||||Zurf fehre|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|Zurf fehre
Beskoff|Location||||Beskoff|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|Beskow
Boruf|Location||||Boruf|no_results|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|Boruf
Nifle|Location||||Nifle|no_results|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|Nifle
Miereis|Location||||Miereis|no_results|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|Miereis
Laf Oakland|Location||||Laf Oakland|no_results|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|390|Laf Oakland
Kurfürstentum Sachsen|Location|https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen|||Kurfürstentum Sachsen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1004|Freistaat Sachsen
Ringmauer (Dresden)|Location|https://de.wikipedia.org/wiki/Stadtmauer_(Dresden)|||Ringmauer (Dresden)|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1004|Ringmauer
Herzogthum Zutlich|Location||||Herzogtum Zittau|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1006|Herzogtum Züllichau
Landgrafschaft Thüringen|Location|https://de.wikipedia.org/wiki/Landgrafschaft_Th%C3%BCringen|||Landgrafschaft Thüringen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1006|Thüringen
Markgrafschaft Meissen|Location|https://de.wikipedia.org/wiki/Markgrafschaft_Mei%C3%9Fen|||Markgrafschaft Meißen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1006|Markgrafschaft Meißen
Marckgraffschaft Ober- Laufeniz|Location|https://de.wikipedia.org/wiki/Laufnitz|||Markgrafschaft Oberlausitz|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1007|Markgrafschaft Oberlausitz
Marckgraffschaft Nieder- Laufeniz|Location||||Markgrafschaft Niederlausitz|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1007|Markgrafschaft Nieder‑Laufenitz
Arafaffaft Marck|Location||||Markgrafschaft|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1007|Arafaffaft Marck
RiesenSaal|Location|https://de.wikipedia.org/wiki/Riesensaal_(Dresden)|||Riesensaal|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1010|Riesensaal
Churfürstliche Guardarobba|Location||||Kurfürstliche Garderobe|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1011|Churfürstliche Guardarobba
Kurfürstliche Festungen|Location||||Kurfürstliche Festungen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1011|Kurfürstliche Festungen
Erbländer|Location||||Erbländer|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1011|Erbländer
Zierathen|Location|https://de.wikipedia.org/wiki/Zierathen|||Zierathen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1013|Zierathen
Portkirchen|Location||||Portkirchen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1013|Portkirchen
Sächsischen Stammen|Location|https://de.wikipedia.org/wiki/S%C3%A4chsische_St%C3%A4mme|||Sächsische Stämme|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1026|Sächsischen Stammen
Churfürstliche Zeughauβ|Location|https://de.wikipedia.org/wiki/Churf%C3%BCrstliches_Zeughaus_(Dresden)|||Kurfürstlicher Zeughof|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1035|Kurfürstliches Zeughaus
Anatomie Kammer|Location||||Anatomische Kammer|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1039|Anatomiekammer
Zage S. Vei|Location||||Zage S. Vei|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1052|Zage S. Vei
Kirch-Thore|Location||||Kirch-Thore|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1055|Kirchthore
Frauenzüñen|Location||||Frauenzüñen|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1062|Frauenzüen
Churfürstinnengarten|Location||||Kurfürstinnengarten|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1063|Kurfürstinnengarten
Zinsendorffer Garten|Location||||Zinzendorfer Garten|no_results|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1064|Zinsendorfer Garten
Dinkelispiel|Location||||Dinkelispiel|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Dinkelispiel
Dwarsdorff|Location||||Dwarsdorff|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Dwarsdorf
Dockum|Location||||Dockum|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Dockum
Espernay|Location||||Espernay|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Épernay
Ekezid|Location||||Ekezid|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Ekezid
Frauncker|Location||||Frauncker|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Frauncker
Freyssingen|Location||||Freyssingen|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|Freyssingen
Gondesberg|Location||||Gondesberg|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000057.tif.original|Gondesberg
Gorckum|Location||||Gorckum|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000057.tif.original|Gorredijk
Gordouan|Location||||Gordouan|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000057.tif.original|Gordouan
Grotkau|Location|https://de.wikipedia.org/wiki/Grotkau|||Grotkau|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000057.tif.original|Grotkau
Harderwick|Location||||Harderwitz|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000057.tif.original|Hardwick
Helsiz|Location||||Helsiz|no_results|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000057.tif.original|Helsiz
Littenbaum|Location||||Littenbaum|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000534.tif.original|Littenbaum
Bosphische Gränze|Location||||Böhmische Grenze|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|Bosphische Grenze
Pirnischen Thor|Location||||Pirnaischer Tor|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|Pirnischen Tor
Dening Mauern|Location||||Dening Mauern|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|Dening Mauern
Podendorff|Location||||Podendorff|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|Podendorf
Olppol|Location||||Olppol|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|Olpe
Chursfuelin|Location||||Chursfuelin|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|Chursfuelin
Maundorff|Location|https://de.wikipedia.org/wiki/Maundorf_(Dresden)|||Mauendorf|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|Maundorf
Böhmische Grenze|Location||||Böhmische Grenze|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|Böhmische Grenze
Zinwwald|Location||||Zinwwald|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|Zinwalde
Wesenstein|Location|https://de.wikipedia.org/wiki/Wesenstein_(Sachsen)|||Wesenstein|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000539.tif.original|Wesenstein
Böhmische Grenze|Location|https://de.wikipedia.org/wiki/Böhmische_Grenze|||Böhmische Grenze|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|Böhmische Grenze
Pémna|Location||||Pémna|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000541.tif.original|Pémna
Wesenstein|Location|https://de.wikipedia.org/wiki/Wesenstein_(Sachsen)|||Wesenstein|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000542.tif.original|Wesenstein
Böhmischen Grenzen|Location||||Böhmische Grenze|no_results|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000544.tif.original|Böhmischen Grenzen
Gavin‑Hütte|Location||||Gavin‑Hütte|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000462.tif.original|Gavinhütte
Mehffen|Location||||Mehffen|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000464.tif.original|Mehffen
Ctleisa|Location||||Ctleisa|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000464.tif.original|Kleisa
Meissnische Inspection|Location|https://de.wikipedia.org/wiki/Meißnische_Inspektion|||Meißnische Inspektion|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|Meißnische Inspektion
Kommaßsch|Location||||Kommaßsch|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|Kommaßsch
Rufflicz|Location||||Rufflicz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000466.tif.original|Rufflicz
Milcicz|Location||||Milcicz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000467.tif.original|Milcicz
Planckstein|Location||||Planckstein|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000468.tif.original|Planckstein
Burckhardswalda|Location||||Burkhardtswalde|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000468.tif.original|Burkhardswalde
Neu- Tanneberg|Location||||Neu- Tanneberg|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000470.tif.original|Neu-Tanneberg
Bichteng-Wald|Location||||Bichteng-Wald|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000470.tif.original|Bichtenwald
Vörder-Gersdorff|Location||||Vörder-Gersdorff|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Vörder-Gersdorf
GleichLocl表态|Location||||GleichLocl表态|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|GleichLocl表态
Erincr-Gersdorff|Location||||Erincr-Gersdorff|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Erincr‑Gersdorf
Somduck|Location||||Somduck|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Somduck
Cbarant|Location||||Cbarant|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Cbarant
Orillenburg|Location||||Orillenburg|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Orillenburg
Edlenau|Location||||Edlenau|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Edlenau
Weiferis|Location||||Weiferis|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|Weiferis
Groß‑striz|Location|https://de.wikipedia.org/wiki/Gro%C3%9Fschr%C3%B6ditz|||Groß‑striz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|Großstriz
Clarren‑burg|Location||||Clarren‑burg|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|Clarenburg
Vestervitz|Location|https://de.wikipedia.org/wiki/Westerwitz|||Westerwitz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|Westerwitz
Untertha i nen|Location||||Untertha i nen|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|Unterthainen
ZuMERckef|Location||||ZuMERckef|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|ZuMERckef
Besterwitz|Location|https://de.wikipedia.org/wiki/Besterwitz|||Besterwitz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|Bystra
Zuckeroda|Location||||Zuckeroda|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|Zuckeroda
Klein‑Öping|Location||||Kleinpöppeln|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|Kleinöping
Bvdnerich|Location||||Bvdnerich|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000476.tif.original|Bvdnerich
Mersfen|Location||||Mersfen|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000476.tif.original|Mersfen
Brceffen|Location||||Brceffen|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000476.tif.original|Brceffen
Rostebauda|Location||||Rostebauda|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|Rostebauda
Weisctropp|Location||||Weisctropp|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|Weisctropp
Kögschenbroda|Location||||Köschener Broda|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|Kögschenbroda
Kadeburg|Location||||Kadeburg|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|Kadeburg
Dresdner Ober-Amt|Location||||Dresdner Oberamt|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|Dresdner Oberamt
Westerwitz|Location|https://de.wikipedia.org/wiki/Westerwitz|||Westerwitz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|Westerwitz
Corbiz|Location||||Cöritz|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|Korbiz
Pirnischen Thor|Location|https://de.wikipedia.org/wiki/Pirnaer_Tor|||Pirnaischer Tor|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000483.tif.original|Pirnischen Thor
Wilßdruffer|Location||||Wilßdruffer|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000483.tif.original|Wilsdruffer
Pirnischen Gasse|Location||||Pirnaische Gasse|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000487.tif.original|Pirnische Gasse
Auerbachticm Boigt Lande|Location||||Auerbacher Bucht|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000488.tif.original|Auerbachticm Boigt Lande
Plauische Gasse|Location||||Plauische Gasse|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000493.tif.original|Plauische Gasse
Wilßdruffer Thor|Location||||Wilßdruffer Thor|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000493.tif.original|Wilßdruffer Thor
Sächsischen Ländern|Location||||Sächsisches Land|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000497.tif.original|Sachsen
Thrigen|Location||||Thrigen|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000497.tif.original|Thüringen
Dreßdennischen Zeug‑Haus|Location|https://de.wikipedia.org/wiki/Zeughaus_(Dresden)|||Dresdner Zeughaus|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000499.tif.original|Dreßdennischen Zeug‑Haus
Couffre|Location||||Couffre|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000504.tif.original|Couffre
Pirnaische Gasse|Location|https://de.wikipedia.org/wiki/Pirnaische_Gasse|||Pirnaische Gasse|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000513.tif.original|Pirnaer Straße
Perls- Schencke|Location||||Perlschenke|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000513.tif.original|Perlschenke
Königsteel|Location||||Königsteig|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000515.tif.original|Königsteele
Güftigelk|Location||||Güftigelk|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000515.tif.original|Güftigelk
Baarrschajft|Location||||Baarrschajft|no_results|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000515.tif.original|Baarrschajft
Churfürstentum Sachsen|Location|https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen|||Kurfürstentum Sachsen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|140|Kurfürstentum Sachsen
Drethren|Location||||Drethren|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|140|Drethren
Kurfürstentum Sachsen|Location|https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen|||Kurfürstentum Sachsen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|142|Freistaat Sachsen
Schloss Kirche der Churfürsten von Sachsen|Location|https://de.wikipedia.org/wiki/Schlosskirche_(Dresden)|||Schlosskirche der Kurfürsten von Sachsen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|143|Schlosskirche der Kurfürsten von Sachsen
Königliche Schatz‑Kstoff|Location|https://de.wikipedia.org/wiki/Grünes_Gewölbe|||Königlicher Schatzkeller|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|143|Königliche Schatzstoff
Jühlische Haus|Location|https://de.wikipedia.org/wiki/J%C3%BClichisches_Haus|||Jühlische Haus|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|145|Jülich
Gouvernements‑Haus|Location||||Gouvernementshaus|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|146|Gouvernementshaus
Hoymelische Haus|Location||||Hoymelische Haus|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|147|Hoymelische Haus
Roniteum|Location||||Roniteum|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|147|Roniteum
Haedeile|Location||||Haedeile|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|147|Haedeile
Hoymbisches Haus|Location||||Hoymbisches Haus|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|148|Hoymbisches Haus
Türkischer Palast|Location|https://de.wikipedia.org/wiki/T%C3%BCrkischer_Pavillon_(Dresden)|||Türkischer Palast|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|149|Türkischer Palast
Chartz|Location||||Chartz|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|155|Chartz
Brandenburg‑Bayreuth|Location|https://de.wikipedia.org/wiki/Markgrafschaft_Brandenburg-Bayreuth|||Brandenburg-Bayreuth|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|157|Brandenburg‑Bayreuth
Preßsch|Location||||Preßsch|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|157|Pressch
Polnichen|Location||||Polnichen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|157|Polnichen
Pommerisch-Preußen|Place|https://de.wikipedia.org/wiki/Pommern|||Pommern/Preußen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|170|Pommern
Brebentau|Location||||Brebentau|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|180|Brebentau
Chur‑Sachsen|Location|https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen|||Chur‑Sachsen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|186|Chur‑Sachsen
Pommerisch‑Preussen|Location|https://de.wikipedia.org/wiki/Pommern|||Pommern/Preußen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|187|Pommern
Brebentau|Location|https://de.wikipedia.org/wiki/Brebentau|||Brebentau|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|188|Brebentau
Weywoden|Location||||Weywoden|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|188|Weywoden
